date,Sara Ramirez,Carrie Poppy,Megan Phelps-Roper,Caroline Paul,Iraola,isPartial
2011-09-01,22,1,0,5,6,False
2011-10-01,25,1,0,5,6,False
2011-11-01,23,1,0,5,5,False
2011-12-01,19,0,0,4,5,False
2012-01-01,23,1,0,6,5,False
2012-02-01,33,1,0,5,6,False
2012-03-01,20,1,0,5,10,False
2012-04-01,22,1,0,4,6,False
2012-05-01,23,0,0,4,7,False
2012-06-01,19,0,0,5,6,False
2012-07-01,35,0,0,4,4,False
2012-08-01,23,0,0,4,4,False
2012-09-01,23,0,0,5,5,False
2012-10-01,26,0,0,4,5,False
2012-11-01,30,0,0,4,5,False
2012-12-01,22,0,1,5,4,False
2013-01-01,23,1,0,4,4,False
2013-02-01,19,0,12,4,5,False
2013-03-01,17,0,2,4,4,False
2013-04-01,19,0,0,5,5,False
2013-05-01,24,0,1,5,4,False
2013-06-01,19,0,1,4,4,False
2013-07-01,20,1,0,5,4,False
2013-08-01,24,1,0,4,4,False
2013-09-01,22,0,1,5,6,False
2013-10-01,22,0,1,5,5,False
2013-11-01,27,0,0,5,4,False
2013-12-01,21,1,0,8,5,False
2014-01-01,26,1,0,5,4,False
2014-02-01,17,1,0,5,5,False
2014-03-01,19,1,2,6,5,False
2014-04-01,21,1,0,6,4,False
2014-05-01,21,1,0,5,5,False
2014-06-01,14,1,0,5,4,False
2014-07-01,15,1,0,5,5,False
2014-08-01,17,1,0,5,6,False
2014-09-01,16,1,0,4,6,False
2014-10-01,17,0,0,5,5,False
2014-11-01,16,0,0,5,5,False
2014-12-01,14,1,0,5,4,False
2015-01-01,16,0,0,5,4,False
2015-02-01,16,0,0,5,5,False
2015-03-01,17,0,0,5,7,False
2015-04-01,17,0,0,5,7,False
2015-05-01,20,0,0,5,18,False
2015-06-01,17,0,0,4,8,False
2015-07-01,17,0,1,4,9,False
2015-08-01,17,0,0,4,6,False
2015-09-01,17,0,0,4,5,False
2015-10-01,16,0,0,5,4,False
2015-11-01,17,0,2,4,4,False
2015-12-01,15,1,1,4,4,False
2016-01-01,16,0,0,5,4,False
2016-02-01,14,0,0,5,4,False
2016-03-01,14,1,0,6,5,False
2016-04-01,26,1,0,8,3,False
2016-05-01,54,0,0,5,6,False
2016-06-01,23,0,0,5,5,False
2016-07-01,20,0,0,5,5,False
2016-08-01,20,0,0,4,3,False
2016-09-01,29,0,0,4,5,False
2016-10-01,43,0,0,4,4,False
2016-11-01,15,0,0,5,6,False
2016-12-01,14,1,0,4,3,False
2017-01-01,17,0,0,5,3,False
2017-02-01,21,0,0,4,4,False
2017-03-01,19,1,4,7,3,False
2017-04-01,15,0,1,5,3,False
2017-05-01,15,0,1,5,4,False
2017-06-01,18,1,6,5,3,False
2017-07-01,14,0,2,5,4,False
2017-08-01,14,0,1,4,3,False
2017-09-01,14,0,1,4,3,False
2017-10-01,22,0,1,5,3,False
2017-11-01,40,0,1,4,3,False
2017-12-01,22,0,1,4,3,False
2018-01-01,30,0,1,5,4,False
2018-02-01,18,0,1,4,3,False
2018-03-01,41,0,1,4,2,False
2018-04-01,23,0,1,4,3,False
2018-05-01,24,0,1,3,3,False
2018-06-01,19,0,1,3,3,False
2018-07-01,17,0,1,4,3,False
2018-08-01,15,0,0,4,3,False
2018-09-01,14,0,0,4,3,False
2018-10-01,16,0,0,4,4,False
2018-11-01,13,0,0,3,3,False
2018-12-01,13,0,0,3,3,False
2019-01-01,14,0,0,4,3,False
2019-02-01,13,0,0,3,3,False
2019-03-01,14,0,0,3,3,False
2019-04-01,12,0,0,4,4,False
2019-05-01,10,0,0,3,3,False
2019-06-01,11,0,0,3,3,False
2019-07-01,12,0,1,3,4,False
2019-08-01,12,0,0,4,4,False
2019-09-01,10,0,0,3,3,False
2019-10-01,11,0,1,4,3,False
2019-11-01,10,0,1,3,3,False
2019-12-01,9,0,1,4,3,False
2020-01-01,10,0,1,4,5,False
2020-02-01,9,0,1,6,10,False
2020-03-01,11,0,0,3,4,False
2020-04-01,15,0,1,4,3,False
2020-05-01,18,0,0,3,3,False
2020-06-01,17,0,0,4,3,False
2020-07-01,14,0,0,4,6,False
2020-08-01,26,0,0,4,5,False
2020-09-01,17,0,0,3,4,False
2020-10-01,14,0,0,4,4,False
