date,David Chalmers,Nikolai Begg,Shih Chieh Huang,Heather Barnett,Iraola,isPartial
2009-11-01,10,0,1,1,24,False
2009-12-01,9,0,1,2,17,False
2010-01-01,10,0,2,1,23,False
2010-02-01,13,0,0,2,12,False
2010-03-01,10,0,1,8,17,False
2010-04-01,8,0,1,8,18,False
2010-05-01,9,0,1,9,15,False
2010-06-01,5,0,1,2,19,False
2010-07-01,10,0,1,3,13,False
2010-08-01,8,0,0,1,18,False
2010-09-01,8,0,0,2,21,False
2010-10-01,11,0,0,1,23,False
2010-11-01,9,0,0,1,27,False
2010-12-01,7,0,0,2,23,False
2011-01-01,9,1,0,1,18,False
2011-02-01,7,0,0,2,25,False
2011-03-01,6,0,0,2,30,False
2011-04-01,9,0,1,2,22,False
2011-05-01,9,0,0,5,20,False
2011-06-01,8,0,0,10,21,False
2011-07-01,7,0,1,3,18,False
2011-08-01,6,0,1,1,28,False
2011-09-01,7,0,0,2,22,False
2011-10-01,5,0,1,1,21,False
2011-11-01,6,0,1,2,19,False
2011-12-01,8,0,0,1,18,False
2012-01-01,6,0,1,1,17,False
2012-02-01,9,0,1,0,20,False
2012-03-01,7,0,0,1,36,False
2012-04-01,7,0,0,2,22,False
2012-05-01,6,0,0,0,27,False
2012-06-01,7,0,0,1,21,False
2012-07-01,6,0,0,1,15,False
2012-08-01,6,0,0,1,16,False
2012-09-01,8,0,0,2,17,False
2012-10-01,6,0,0,2,17,False
2012-11-01,6,0,0,1,17,False
2012-12-01,7,0,0,2,15,False
2013-01-01,7,0,1,1,15,False
2013-02-01,9,1,0,1,16,False
2013-03-01,7,1,0,1,15,False
2013-04-01,9,0,1,1,17,False
2013-05-01,10,0,1,2,14,False
2013-06-01,9,1,0,1,15,False
2013-07-01,5,0,0,1,15,False
2013-08-01,5,0,0,0,16,False
2013-09-01,5,0,0,0,20,False
2013-10-01,5,0,0,1,17,False
2013-11-01,7,0,1,1,16,False
2013-12-01,6,0,0,1,16,False
2014-01-01,5,0,0,1,15,False
2014-02-01,5,0,0,1,16,False
2014-03-01,7,0,0,1,19,False
2014-04-01,7,0,0,1,14,False
2014-05-01,7,0,0,1,16,False
2014-06-01,5,0,0,1,14,False
2014-07-01,11,3,1,2,17,False
2014-08-01,8,2,1,2,22,False
2014-09-01,8,1,0,1,23,False
2014-10-01,6,0,0,1,18,False
2014-11-01,7,0,0,1,17,False
2014-12-01,7,1,0,1,14,False
2015-01-01,8,0,0,1,14,False
2015-02-01,8,0,0,1,17,False
2015-03-01,5,0,0,1,24,False
2015-04-01,6,0,0,2,25,False
2015-05-01,6,0,0,1,66,False
2015-06-01,5,0,0,1,29,False
2015-07-01,5,0,0,1,33,False
2015-08-01,5,0,0,1,23,False
2015-09-01,6,0,0,1,20,False
2015-10-01,6,0,0,1,16,False
2015-11-01,7,0,0,2,15,False
2015-12-01,6,0,0,1,13,False
2016-01-01,5,0,0,1,16,False
2016-02-01,5,0,0,1,15,False
2016-03-01,5,0,0,0,17,False
2016-04-01,12,0,0,1,12,False
2016-05-01,8,0,0,1,21,False
2016-06-01,6,0,0,1,17,False
2016-07-01,6,0,0,1,18,False
2016-08-01,7,0,0,1,12,False
2016-09-01,6,0,0,1,17,False
2016-10-01,6,0,0,1,16,False
2016-11-01,5,0,0,1,22,False
2016-12-01,6,0,0,1,12,False
2017-01-01,5,0,0,1,12,False
2017-02-01,9,0,0,1,14,False
2017-03-01,8,0,0,1,12,False
2017-04-01,6,0,0,0,12,False
2017-05-01,7,0,0,1,16,False
2017-06-01,6,0,0,1,12,False
2017-07-01,5,0,0,1,13,False
2017-08-01,4,0,0,1,12,False
2017-09-01,7,0,0,1,12,False
2017-10-01,7,0,0,1,10,False
2017-11-01,6,0,1,1,9,False
2017-12-01,7,0,1,1,9,False
2018-01-01,6,0,0,1,13,False
2018-02-01,5,0,0,1,11,False
2018-03-01,6,0,0,1,9,False
2018-04-01,7,0,0,2,11,False
2018-05-01,6,0,0,1,11,False
2018-06-01,7,0,0,1,11,False
2018-07-01,3,0,0,1,10,False
2018-08-01,6,0,0,0,11,False
2018-09-01,6,0,0,1,12,False
2018-10-01,5,0,0,1,13,False
2018-11-01,5,0,0,1,11,False
2018-12-01,7,0,0,1,10,False
2019-01-01,5,0,0,1,10,False
2019-02-01,5,0,0,1,12,False
2019-03-01,6,0,1,1,10,False
2019-04-01,6,0,1,0,13,False
2019-05-01,6,0,0,1,10,False
2019-06-01,5,0,0,5,11,False
2019-07-01,5,0,0,2,16,False
2019-08-01,5,0,0,1,13,False
2019-09-01,6,0,0,1,11,False
2019-10-01,5,0,0,1,11,False
2019-11-01,6,0,0,1,11,False
2019-12-01,5,0,0,1,12,False
2020-01-01,4,0,0,1,19,False
2020-02-01,5,0,0,1,35,False
2020-03-01,4,0,0,1,14,False
2020-04-01,4,0,0,1,11,False
2020-05-01,5,0,0,0,9,False
2020-06-01,4,0,0,1,10,False
2020-07-01,3,0,0,1,22,False
2020-08-01,4,0,0,1,17,False
2020-09-01,6,0,0,1,13,False
2020-10-01,5,0,0,1,14,False
