date,Ethan Nadelmann,Leana Wen,Vincent Moon and Naná Vasconcelos,David Grady,Iraola,isPartial
2015-09-01,4,1,0,5,30,False
2015-10-01,1,2,0,4,24,False
2015-11-01,2,2,0,4,23,False
2015-12-01,1,1,0,3,20,False
2016-01-01,1,2,0,4,24,False
2016-02-01,2,2,0,3,23,False
2016-03-01,1,5,0,3,26,False
2016-04-01,1,3,0,4,18,False
2016-05-01,1,2,0,3,32,False
2016-06-01,0,2,0,5,26,False
2016-07-01,1,1,0,3,28,False
2016-08-01,1,1,0,3,18,False
2016-09-01,1,3,0,3,25,False
2016-10-01,1,0,0,4,24,False
2016-11-01,1,1,0,4,33,False
2016-12-01,1,1,0,3,19,False
2017-01-01,1,1,0,4,18,False
2017-02-01,1,3,0,2,21,False
2017-03-01,1,2,0,3,18,False
2017-04-01,1,1,0,3,19,False
2017-05-01,1,2,0,3,24,False
2017-06-01,1,3,0,3,19,False
2017-07-01,0,2,0,3,20,False
2017-08-01,0,1,0,5,18,False
2017-09-01,1,1,0,3,18,False
2017-10-01,1,1,0,3,16,False
2017-11-01,1,1,0,4,14,False
2017-12-01,1,2,0,2,14,False
2018-01-01,0,1,0,3,19,False
2018-02-01,1,1,0,3,17,False
2018-03-01,0,1,0,3,14,False
2018-04-01,1,1,0,4,16,False
2018-05-01,1,1,0,2,17,False
2018-06-01,0,1,0,2,17,False
2018-07-01,0,1,0,2,16,False
2018-08-01,0,1,0,3,17,False
2018-09-01,0,25,0,4,18,False
2018-10-01,1,5,0,3,20,False
2018-11-01,0,8,0,2,17,False
2018-12-01,0,3,0,4,16,False
2019-01-01,0,5,0,3,16,False
2019-02-01,0,8,0,2,19,False
2019-03-01,1,9,0,3,15,False
2019-04-01,1,6,0,2,19,False
2019-05-01,0,14,0,2,16,False
2019-06-01,1,4,0,3,17,False
2019-07-01,0,69,0,2,24,False
2019-08-01,1,6,0,3,20,False
2019-09-01,0,7,0,2,17,False
2019-10-01,0,5,0,3,16,False
2019-11-01,0,2,0,2,16,False
2019-12-01,1,3,0,2,19,False
2020-01-01,0,1,0,2,28,False
2020-02-01,0,3,0,2,54,False
2020-03-01,0,35,0,3,21,False
2020-04-01,0,34,0,3,17,False
2020-05-01,0,18,0,3,14,False
2020-06-01,1,14,0,3,16,False
2020-07-01,0,13,0,4,34,False
2020-08-01,0,7,0,3,27,False
2020-09-01,1,6,0,3,19,False
2020-10-01,0,18,0,3,21,False
